activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
,CCOP(=O)(O)C1=C[C@@H]([C@@H](NC(C)=O)C(CC)CC)[C@H](NC(=N)N)C1,CHEMBL3819617,nM,177.0,nM,177.0
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,6.0,nM,6.0
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,1.0,nM,1.0
273484,CC(=O)N[C@H]1CS(=O)(=O)[C@H]2[C@@H]1[C@H](N)C[C@@H]2C(=O)O,CHEMBL3699083,nM,4000000.0,nM,4000000.0
273485,CC(=O)N[C@H]1CS(=O)(=O)[C@H]2[C@@H]1[C@H](NC(=N)N)C[C@@H]2C(=O)O,CHEMBL3699084,nM,10000000.0,nM,10000000.0
273486,CC(=O)N[C@H]1CC[C@H]2[C@@H]1[C@H](N/C(=N/C(=O)OCc1ccccc1)NC(=O)OCc1ccccc1)C[C@@H]2O[Si](C)(C)C(C)(C)C,CHEMBL3699085,nM,3800000.0,nM,3800000.0
273487,CC(=O)N[C@H]1CS(=O)(=O)[C@H]2[C@@H]1[C@H](N)C[C@@H]2C(=O)O,CHEMBL3699083,nM,92000.0,nM,92000.0
273488,CC(=O)N[C@H]1CS(=O)(=O)C2C1[C@H](NC(=N)N)C[C@@H]2C(=O)O,CHEMBL3699086,nM,30000.0,nM,30000.0
,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@@H](C)O,CHEMBL4125895,nM,6420.0,uM,6.42
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,2.2,uM,0.0022
,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,CHEMBL4128362,nM,116.0,uM,0.116
,CC(=O)N[C@@H]1C[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,CHEMBL4126987,nM,133.0,uM,0.133
,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1C[C@H](O)CO,CHEMBL4127125,nM,104.0,uM,0.104
,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)CCO,CHEMBL4125754,nM,280.0,uM,0.28
